condition,seed_id,repeat_index,lambda1_mean,lambda1_std,lambda1_cv,layerwise_variance_mean,profile_slope_mean,n_tangent_seeds,n_valid,nan_count,renorm_cadence,model_id,compute_time_s
HETERO_ROT,argumentative_0,0,0.09469716,0.00223771,0.02363,0.12309501,-0.01417243,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,9.26
HETERO_ROT,argumentative_0,1,0.09469716,0.00223771,0.02363,0.12309501,-0.01417243,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.19
HETERO_ROT,argumentative_0,2,0.09469716,0.00223771,0.02363,0.12309501,-0.01417243,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.16
HETERO_ROT,argumentative_0,3,0.09469716,0.00223771,0.02363,0.12309501,-0.01417243,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.19
HETERO_ROT,argumentative_0,4,0.09469716,0.00223771,0.02363,0.12309501,-0.01417243,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.14
HETERO_ROT,argumentative_1,0,0.08513631,0.00305938,0.035935,0.1098823,-0.01206225,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.7
HETERO_ROT,argumentative_1,1,0.08513631,0.00305938,0.035935,0.1098823,-0.01206225,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.23
HETERO_ROT,argumentative_1,2,0.08513631,0.00305938,0.035935,0.1098823,-0.01206225,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.17
HETERO_ROT,argumentative_1,3,0.08513631,0.00305938,0.035935,0.1098823,-0.01206225,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.17
HETERO_ROT,argumentative_1,4,0.08513631,0.00305938,0.035935,0.1098823,-0.01206225,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.09
HETERO_ROT,argumentative_2,0,0.10072373,0.0049195,0.048842,0.11078346,-0.01305967,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.36
HETERO_ROT,argumentative_2,1,0.10072373,0.0049195,0.048842,0.11078346,-0.01305967,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.27
HETERO_ROT,argumentative_2,2,0.10072373,0.0049195,0.048842,0.11078346,-0.01305967,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.26
HETERO_ROT,argumentative_2,3,0.10072373,0.0049195,0.048842,0.11078346,-0.01305967,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.25
HETERO_ROT,argumentative_2,4,0.10072373,0.0049195,0.048842,0.11078346,-0.01305967,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.31
HETERO_ROT,argumentative_3,0,0.09724252,0.00600191,0.061721,0.12077159,-0.01364009,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.31
HETERO_ROT,argumentative_3,1,0.09724252,0.00600191,0.061721,0.12077159,-0.01364009,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.25
HETERO_ROT,argumentative_3,2,0.09724252,0.00600191,0.061721,0.12077159,-0.01364009,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.21
HETERO_ROT,argumentative_3,3,0.09724252,0.00600191,0.061721,0.12077159,-0.01364009,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.25
HETERO_ROT,argumentative_3,4,0.09724252,0.00600191,0.061721,0.12077159,-0.01364009,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.19
HETERO_ROT,argumentative_4,0,0.0830504,0.00292491,0.035218,0.11409412,-0.01192573,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.09
HETERO_ROT,argumentative_4,1,0.0830504,0.00292491,0.035218,0.11409412,-0.01192573,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.08
HETERO_ROT,argumentative_4,2,0.0830504,0.00292491,0.035218,0.11409412,-0.01192573,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.22
HETERO_ROT,argumentative_4,3,0.0830504,0.00292491,0.035218,0.11409412,-0.01192573,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.18
HETERO_ROT,argumentative_4,4,0.0830504,0.00292491,0.035218,0.11409412,-0.01192573,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.14
HETERO_ROT,argumentative_5,0,0.09955737,0.00412493,0.041433,0.11747972,-0.01459817,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.17
HETERO_ROT,argumentative_5,1,0.09955737,0.00412493,0.041433,0.11747972,-0.01459817,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.08
HETERO_ROT,argumentative_5,2,0.09955737,0.00412493,0.041433,0.11747972,-0.01459817,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.15
HETERO_ROT,argumentative_5,3,0.09955737,0.00412493,0.041433,0.11747972,-0.01459817,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.17
HETERO_ROT,argumentative_5,4,0.09955737,0.00412493,0.041433,0.11747972,-0.01459817,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.12
HETERO_ROT,creative_rewrite_0,0,0.09165623,0.0051525,0.056215,0.11226031,-0.01047824,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.06
HETERO_ROT,creative_rewrite_0,1,0.09165623,0.0051525,0.056215,0.11226031,-0.01047824,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.19
HETERO_ROT,creative_rewrite_0,2,0.09165623,0.0051525,0.056215,0.11226031,-0.01047824,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.17
HETERO_ROT,creative_rewrite_0,3,0.09165623,0.0051525,0.056215,0.11226031,-0.01047824,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.07
HETERO_ROT,creative_rewrite_0,4,0.09165623,0.0051525,0.056215,0.11226031,-0.01047824,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.19
HETERO_ROT,creative_rewrite_1,0,0.08297465,0.00297817,0.035893,0.1123416,-0.00992649,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.13
HETERO_ROT,creative_rewrite_1,1,0.08297465,0.00297817,0.035893,0.1123416,-0.00992649,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.13
HETERO_ROT,creative_rewrite_1,2,0.08297465,0.00297817,0.035893,0.1123416,-0.00992649,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.14
HETERO_ROT,creative_rewrite_1,3,0.08297465,0.00297817,0.035893,0.1123416,-0.00992649,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.14
HETERO_ROT,creative_rewrite_1,4,0.08297465,0.00297817,0.035893,0.1123416,-0.00992649,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.11
HETERO_ROT,creative_rewrite_2,0,0.0915361,0.00414199,0.04525,0.1172072,-0.01061734,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.15
HETERO_ROT,creative_rewrite_2,1,0.0915361,0.00414199,0.04525,0.1172072,-0.01061734,10,10,0,4,meta-llama/Llama-3.1-8B-Instruct,5.06
